name,site_url,image_url,description,skills,level_exp,level_age_min,level_age_max,cost_min,cost,audience,into_work,employer_opp,lo_type,like_count
Apps for Good,www.appsforgood.org,http://www.appsforgood.org/assets/public/apps_for_good_logo-d8ce7b87ed862302fd503dea36414cea.jpg,Teaching young people how to build mobile apps to solve real problems with the help of profressional volunteers,"Balsamiq, App Inventor, App Shed, HTML, CSS, JavaScript",novice,10,18,0,Free to non-fee paying schools. œ250 to fee paying schools.,All,n,http://www.appsforgood.org/public/get-involved,"course, community, event, workshop",0
Mozilla Webmaker,https://webmaker.org/en-US/,https://webmaker.org/img/logo.png,Global community dedicated to teaching digital skills and web literacy,HTML,Beginner,0,None,0,0,All,,,"community, course, online",0
TeenTech,http://www.teentechevent.com/about-2/,http://www.teentechevent.com/wp-content/themes/mymag/images/logos/1378644789.png,"Inspiring tomorrow's innnovators -TeenTech runs lively one-day events to help young teenagers see the wide range of career possibilities in Science, Engineering and Technology.","Science, Technology, Engineering, Maths",novice,11,18,0,,,y,http://www.teentechevent.com/sponsors/,"event, awards",0
Tech City Stars,http://techcitystars.com,http://www.eunetworks.com/eunew/images/198/tech-city-stars.png,"a high quality, high intensity programme that catapults talented young people into the Tech stratosphere through a year of work and training in a Tech Business.","network engineering, web developement, software programming, social media, digital marketing, data centre technician, App Coder, Operations, people skills",,16,23,0,,,y,http://techcitystars.com/#services,"course, apprenticeship",
Tech City Apprenticeships,http://www.techcityapprenticeships.com,https://ebmedia.eventbrite.com/s3-build/images/4465405/37599100152/1/logo.jpg,"The Tech City Apprenticeship is a unique new programme for young people in East London. They get a chance to learn (and earn) with some of the top tech businesses on their doorstep. Top East London businesses get to work with, and help mould, the next generation of digital talent. It's a win-win for everyone.","Business Administration, Front of House, Social Media Support, Digital Media, Software Developement, App Developement, Operations, Project Management",,16,24,0,,,y,http://www.techcityapprenticeships.com/employer/,"course, apprenticeship",0
Founders4Schools,www.founders4schools.org.uk,http://blog.founders4schools.org.uk/wp-content/uploads/2013/12/Founders4Schools.jpg,"Enables teachers to arrange for founders of successful, growing businesses to visit their schools and inspire their students.",,,11,19,0,0,All,n,https://www.founders4schools.org.uk/about/contact/#founder,"event, talk",0
Code Club,https://www.codeclub.org.uk,http://www.brightondigitalfestival.co.uk/wp-content/uploads/gravity_forms/3-87c148ca8404b7a1c08ac099c75449f4/2013/08/CodeClub-Logo.jpg,Nationwide network of after-school coding clubs.,"coding, programming","Beginner, Intermediate, Expert",0,18,0,,All,n,https://www.codeclub.org.uk/start-a-club/volunteers,"event, networking, community, club",0
Creative Pioneers,http://www.creativepioneers.co.uk/Home,http://www.creativepioneers.co.uk/AppImages/Logo2014.jpg,Nationwide campaign to find the gen,,,,,,,,y,http://www.creativepioneers.co.uk/Contact-Us,,0
Code Academy,http://www.codecademy.com,http://gigaom2.files.wordpress.com/2012/01/codecademy-logo-black.jpg,"Learn how to code in an interactive and fun way. Either on your own, or with your friends!","coding, programming",Beginner,0,None,0,0,All,n,n,"online, community",0
Freeformers,http://freeformers.com,http://freeformers.com/assets/build/logo.png,One:for1 Programme - One Day Workshops and further training that help young people learn the digital skills that will help them be more effective,"App Development, Digital Skills",Beginner,16,25,0,0,All,y,n,"event, workshop",0
Technology Will Save Us,http://technologywillsaveus.org,http://ebmedia.eventbrite.com/s3-build/images/4157967/15353450061/1/logo.png,"Helping people to produce and not just consume technology by providing kits, resources and classes.","electronics, programming","Beginner, Intermediate, Expert",9,None,œ10,Classes vary from œ20 to œ85. Kits vary from œ10-œ66.67,All,n,n,"event, course, online, workshop, community",0
Makers Academy,http://www.makersacademy.com,http://blog.makersacademy.com/wp-content/uploads/2013/11/logo-square.png,12 week full-time programme that teaches web development,"HTML5, CSS3, Javascript, jQuery, Git, Heroku, Ruby on Rails, Agile Methodologies",Beginner,0,None,"œ6,400",Scholarships for women available.,All,y,n,course,0
Ko-Su,https://ko-su.com,https://ko-su.com/images/kosu-beta-logo.png,"Mobile learning platform that enables anyone and everyone to teach, train and learn via mobile devices.",Mobile,Beginner,0,None,0,,All,n,n,online,0
Livity/Somewhereto,https://somewhereto.com,http://www.pushyourpassion.org/wp-content/uploads/2014/02/somewhereto.jpg,"Youth engagement agency supporting training, equipment and opportunities.",People,Beginner,16,23,0,0,All,y,https://somewhereto.com/contact/,community,0
Code for an Hour,http://code.org/hourofcode,http://code.org/images/logo.png,A campaign to introduce 10 million students to one hour of Computer Science,,Beginner,0,None,0,0,All,n,n,,0
